! --------------------------------------------------------------- !
!  ELCOM Temporal Boundary Condition file
!  Generated by ARMS
! !
! File was created from the following resources on 2015-06-24 06:07:10
! HEADER               BC     ARMS Address
! INFLOW               1     FCR Weir Inflow 1 Drain
! WTR_TEMP			   2     FCR Weir Inflow Temp 1 Drain
! SALINITY			   3     FCR Weir Inflow Salinity 1 Drain
! --------------------------------------------------------------- !
3 data sets
0 seconds between data
0         2        2            2
TIME	OUTFLOW	WTR_TEMP	SALINITY
2015189.042	0.0408	20	0
2015189.083	0.0405	20	0
2015189.125	0.04	20	0
2015189.167	0.0406	20	0
2015189.208	0.0406	20	0
2015189.25	0.0402	20	0
2015189.292	0.0405	20	0
2015189.333	0.0411	20	0
2015189.375	0.0415	20	0
2015189.417	0.0421	20	0
2015189.458	0.0416	20	0
2015189.5	0.0412	20	0
2015189.542	0.0406	20	0
2015189.583	0.0403	20	0
2015189.625	0.0403	20	0
2015189.667	0.0415	20	0
2015189.708	0.0415	20	0
2015189.75	0.0415	20	0
2015189.792	0.0408	20	0
2015189.833	0.0409	20	0
2015189.875	0.0406	20	0
2015189.917	0.0405	20	0
2015189.958	0.0411	20	0
2015190	0.0403	20	0
2015190.042	0.0396	20	0
2015190.083	0.0403	20	0
2015190.125	0.04	20	0
2015190.167	0.0402	20	0
2015190.208	0.04	20	0
2015190.25	0.0409	20	0
2015190.292	0.0406	20	0
2015190.333	0.0399	20	0
2015190.375	0.0398	20	0
2015190.417	0.0403	20	0
2015190.458	0.0398	20	0
2015190.5	0.0392	20	0
2015190.542	0.0405	20	0
2015190.583	0.0413	20	0
2015190.625	0.0405	20	0
2015190.667	0.0418	20	0
2015190.708	0.0411	20	0
2015190.75	0.0403	20	0
2015190.792	0.0411	20	0
2015190.833	0.0393	20	0
2015190.875	0.038	20	0
2015190.917	0.0373	20	0
2015190.958	0.0369	20	0
2015191	0.0361	20	0
2015191.042	0.0355	20	0
2015191.083	0.0355	20	0
2015191.125	0.035	20	0
2015191.167	0.0343	20	0
2015191.208	0.0344	20	0
2015191.25	0.034	20	0
2015191.292	0.0333	20	0
2015191.333	0.034	20	0
2015191.375	0.0333	20	0
2015191.417	0.0332	20	0
2015191.458	0.0332	20	0
2015191.5	0.0331	20	0
2015191.542	0.0331	20	0
2015191.583	0.0342	20	0
2015191.625	0.0346	20	0
2015191.667	0.0355	20	0
2015191.708	0.0347	20	0
2015191.75	0.0347	20	0
2015191.792	0.0346	20	0
2015191.833	0.0333	20	0
2015191.875	0.0329	20	0
2015191.917	0.0324	20	0
2015191.958	0.0327	20	0
2015192	0.0315	20	0
2015192.042	0.0312	20	0
2015192.083	0.0304	20	0
2015192.125	0.0303	20	0
2015192.167	0.0296	20	0
2015192.208	0.0299	20	0
2015192.25	0.0295	20	0
2015192.292	0.0308	20	0
2015192.333	0.0337	20	0
2015192.375	0.0328	20	0
2015192.417	0.0324	20	0
2015192.458	0.0321	20	0
2015192.5	0.0323	20	0
2015192.542	0.0331	20	0
2015192.583	0.0331	20	0
2015192.625	0.0328	20	0
2015192.667	0.0327	20	0
2015192.708	0.032	20	0
2015192.75	0.032	20	0
2015192.792	0.0316	20	0
2015192.833	0.0313	20	0
2015192.875	0.0309	20	0
2015192.917	0.0305	20	0
2015192.958	0.0297	20	0
2015193	0.029	20	0
2015193.042	0.029	20	0
2015193.083	0.0294	20	0
2015193.125	0.0288	20	0
2015193.167	0.0294	20	0
2015193.208	0.0288	20	0
2015193.25	0.0287	20	0
2015193.292	0.0286	20	0
2015193.333	0.0282	20	0
2015193.375	0.0282	20	0
2015193.417	0.0279	20	0
2015193.458	0.0281	20	0
2015193.5	0.029	20	0
2015193.542	0.0288	20	0
2015193.583	0.0291	20	0
2015193.625	0.0297	20	0
2015193.667	0.0295	20	0
2015193.708	0.0292	20	0
2015193.75	0.0288	20	0
2015193.792	0.0282	20	0
2015193.833	0.0282	20	0
2015193.875	0.0279	20	0
2015193.917	0.0285	20	0
2015193.958	0.0282	20	0
2015194	0.0282	20	0
2015194.042	0.0276	20	0
2015194.083	0.0273	20	0
2015194.125	0.031	20	0
2015194.167	0.0811	20	0
2015194.208	0.0817	20	0
2015194.25	0.0691	20	0
2015194.292	0.0566	20	0
2015194.333	0.0545	20	0
2015194.375	0.058	20	0
2015194.417	0.0801	20	0
2015194.458	0.0979	20	0
2015194.5	0.0865	20	0
2015194.542	0.0802	20	0
2015194.583	0.0754	20	0
2015194.625	0.0743	20	0
2015194.667	0.0742	20	0
2015194.708	0.072	20	0
2015194.75	0.0675	20	0
2015194.792	0.0663	20	0
2015194.833	0.0662	20	0
2015194.875	0.0662	20	0
2015194.917	0.0655	20	0
2015194.958	0.0652	20	0
2015195	0.089	20	0
2015195.042	0.0811	20	0
2015195.083	0.0768	20	0
2015195.125	0.075	20	0
2015195.167	0.0745	20	0
2015195.208	0.0741	20	0
2015195.25	0.0741	20	0
2015195.292	0.0724	20	0
2015195.333	0.0756	20	0
2015195.375	0.0729	20	0
2015195.417	0.0729	20	0
2015195.458	0.0713	20	0
2015195.5	0.0717	20	0
2015195.542	0.0722	20	0
2015195.583	0.071	20	0
2015195.625	0.0701	20	0
2015195.667	0.0692	20	0
2015195.708	0.071	20	0
2015195.75	0.0701	20	0
2015195.792	0.0689	20	0
2015195.833	0.0691	20	0
2015195.875	0.0691	20	0
2015195.917	0.068	20	0
2015195.958	0.0658	20	0
2015196	0.0643	20	0
2015196.042	0.064	20	0
2015196.083	0.0648	20	0
2015196.125	0.0633	20	0
2015196.167	0.0636	20	0
2015196.208	0.0625	20	0
2015196.25	0.0625	20	0
2015196.292	0.061	20	0
2015196.333	0.0605	20	0
2015196.375	0.0598	20	0
2015196.417	0.0595	20	0
2015196.458	0.0593	20	0
2015196.5	0.0588	20	0
2015196.542	0.0588	20	0
2015196.583	0.0578	20	0
2015196.625	0.058	20	0
2015196.667	0.0598	20	0
2015196.708	0.0592	20	0
2015196.75	0.0578	20	0
2015196.792	0.057	20	0
2015196.833	0.0556	20	0
2015196.875	0.0554	20	0
2015196.917	0.0543	20	0
2015196.958	0.0541	20	0
2015197	0.0533	20	0
2015197.042	0.0543	20	0
2015197.083	0.053	20	0
2015197.125	0.0522	20	0
2015197.167	0.051	20	0
2015197.208	0.0508	20	0
2015197.25	0.0507	20	0
2015197.292	0.0499	20	0
2015197.333	0.0501	20	0
2015197.375	0.0497	20	0
2015197.417	0.0493	20	0
2015197.458	0.0487	20	0
2015197.5	0.0481	20	0
2015197.542	0.0485	20	0
2015197.583	0.0471	20	0
2015197.625	0.0471	20	0
2015197.667	0.0476	20	0
2015197.708	0.0478	20	0
2015197.75	0.0468	20	0
2015197.792	0.0473	20	0
2015197.833	0.0465	20	0
2015197.875	0.0459	20	0
2015197.917	0.0461	20	0
2015197.958	0.045	20	0
2015198	0.0444	20	0
2015198.042	0.0435	20	0
2015198.083	0.0431	20	0
2015198.125	0.0432	20	0
2015198.167	0.0432	20	0
2015198.208	0.0431	20	0
2015198.25	0.0432	20	0
2015198.292	0.0428	20	0
2015198.333	0.0422	20	0
2015198.375	0.0428	20	0
2015198.417	0.0421	20	0
2015198.458	0.0427	20	0
2015198.5	0.0434	20	0
2015198.542	0.0425	20	0
2015198.583	0.0432	20	0
2015198.625	0.0435	20	0
2015198.667	0.043	20	0
2015198.708	0.0432	20	0
2015198.75	0.0437	20	0
2015198.792	0.0435	20	0
2015198.833	0.043	20	0
2015198.875	0.043	20	0
2015198.917	0.043	20	0
2015198.958	0.0424	20	0
2015199	0.0425	20	0
2015199.042	0.0418	20	0
2015199.083	0.0412	20	0
2015199.125	0.0412	20	0
2015199.167	0.0421	20	0
2015199.208	0.0413	20	0
2015199.25	0.0418	20	0
2015199.292	0.0418	20	0
2015199.333	0.0413	20	0
2015199.375	0.0418	20	0
2015199.417	0.0419	20	0
2015199.458	0.0418	20	0
2015199.5	0.0424	20	0
2015199.542	0.0421	20	0
2015199.583	0.0427	20	0
2015199.625	0.0413	20	0
2015199.667	0.0421	20	0
2015199.708	0.0431	20	0
2015199.75	0.0437	20	0
2015199.792	0.0432	20	0
2015199.833	0.0438	20	0
2015199.875	0.0427	20	0
2015199.917	0.0428	20	0
2015199.958	0.0427	20	0
